Date,Close,High,Low,Open,Volume,Company,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
2023-01-02,1184.7564697265625,1186.182294620444,1172.0161403441418,1172.844019047458,5316175.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-03,1176.0865478515625,1183.4226115434274,1171.8321881012346,1179.7660763230713,7658932.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-04,1158.37890625,1177.9263321460267,1156.286155495292,1176.063513894888,9264891.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-05,1156.3092041015625,1166.5888907069561,1151.6868306140784,1160.6556585715543,13637099.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-06,1166.8187255859375,1171.901085334715,1158.2638985279552,1162.104379487104,6349597.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-09,1194.3690185546875,1196.7608031365323,1169.7853417588012,1170.6822001482906,10722753.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-10,1176.7073974609375,1198.6004989520484,1171.004220008536,1198.6004989520484,8047142.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-11,1161.87451171875,1176.5235239784797,1159.5517067568273,1173.9939014166375,11509553.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-12,1136.78466796875,1164.7949470416775,1133.7490724205254,1161.2764932564016,17688773.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-13,1134.945068359375,1137.382717988861,1119.7670892320261,1130.7135801419379,20618583.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-16,1124.136474609375,1140.487230312916,1116.2714448067097,1137.2906819043553,13623855.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-17,1140.0963134765625,1142.0279897553492,1127.1260525425478,1130.529540108698,10751000.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-18,1138.2105712890625,1145.7535741813722,1131.610535001351,1137.6587332657807,13448286.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-19,1136.9918212890625,1141.1772013040625,1129.908683329195,1137.3827065603527,11940054.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-20,1123.4696044921875,1138.348549606544,1120.9859683741388,1138.348549606544,14930286.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-23,1117.789306640625,1134.3011376985096,1115.351657006759,1126.3902425998535,10954118.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-24,1111.189208984375,1123.9294161459254,1098.0348800033605,1122.2506655622635,16488755.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-25,1095.8271484375,1110.6142413050682,1094.654371032518,1109.5794233998006,12385018.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-27,1075.0379638671875,1098.034863501992,1063.217486893602,1096.678140099742,25830975.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-30,1085.3406982421875,1090.928909857065,1058.319248553676,1072.4394162090243,21772103.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-01-31,1082.626953125,1098.1729448745136,1076.7167146370466,1095.5742210042522,22691594.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-02-01,1076.2109375,1094.6314517341445,1060.1589714857873,1094.6314517341445,19347800.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2023-02-02,1070.254638671875,1079.9362567805736,1062.918575370677,1066.1381169902672,13662663.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
